LEVEL,UNIT,TOPIC AND CONTENT AREA,PART,CONTENT VOCABULARY,ACADEMIC VOCABULARY,LANGUAGE SKILL,THINKING MAP SKILL,READING SKILL,PHONICS SKILL,GRAMMAR SKILL,ORAL LANGUAGE PROJECT,WRITING PROJECT,GENRES,
3A,1,Happy to Help (Social Studies),Part 1,"action, difference, gift, problem, receive, solution","kindness, need, understand, value, want",Retell a Story,Plot,Preview and Predict,Compound Words,Complete Sentences,,Write a Personal Narrative,"Realistic Fiction, Poem",
3A,1,Happy to Help (Social Studies),Part 2,"improve, individual, neighborhood, offer, volunteer","benefit, duty, identify, impact, learn",Make Comparisons,Make Comparisons,Monitor and Clarify,Syllable Division,More Subjects and Predicates,Oral Report,,"Autobiography, Biography",
3A,2,Nature's Balance (Science),Part 1,"amount, behavior, decrease, increase, supply","balance, control, interact, react, scarce",Ask and Answer Questions,Compare and Contrast,Ask Questions,Vowel Sounds and Spellings: u_e,Kinds of Sentences,,Write a Summary,"Humorous Story, Riddle",
3A,2,Nature's Balance (Science),Part 2,"drought, ecosystem, food chain, level, river","competition, nature, negative, positive, resources",Give and Carry Out Commands,Cause and Effect,Ask Questions,Vowel Sounds and Spellings: oo,Compound Sentences,Narrative Presentation,,"Science Article, Human Interest Feature",
3A,3,Life in the Soil (Science),Part 1,"blossom, cycle, root, seed, soil, sprout","characteristic, conditions, depend, growth, produce",Give Information,Sequence,Make Inferences,Review: Two- and Three-Letter Blends,Plural Nouns,,Write an Article,"Realistic Fiction, Haiku",
3A,3,Life in the Soil (Science),Part 2,"city, desert, rainforest, vine, weed","diversity, environment, organism, protect, unique",Define and Explain,Main Idea and Details,Make Inferences,Review: Plurals: -s -es -ies,More Plural Nouns,News Report,,"Nonfiction: Science Article, Blog",
3A,4,Let's Work Together (Social Studies),Part 1,"advertisement, buyer, market, money, pay, seller","accomplish, cooperation, plenty, purpose, reward","Express Needs, Wants, and Feelings",Theme,Determine Importance,Syllable Division,Present-Tense Action Verbs,,Write a Persuasive Essay,Realistic Fiction,
3A,4,Let's Work Together (Social Studies),Part 2,"agriculture, crop, farmer, field, harvest, plow","alternative, conservation, future, method, sustain",Persuade,Opinion and Evidence,Summarize,Vowel Sounds and Spellings: al aw au,"Forms of be, have",Persuasive Presentation,,"Persuasive Article, Fable",
3B,5,Mysteries of Matter (Science),Part 1,"form, freeze, liquid, melt, solid, temperature, thermometer","alter, occur, state, substance, trap",Describe Actions,Character and Plot,Make Connections,"Endings: -ed, -ing",Adjectives and Articles,,Write a Literary Response,"Play, E-mail, Web-based News Article",
3B,5,Mysteries of Matter (Science),Part 2,"ground, mixture, sand, water, wetland","area, combine, composition, firm, surface",Describe Places,Cause and Effect,Make Connections,"Prefixes: in-, im-",Possessive Nouns/Adjectives,Interview,,Science Article,
3B,6,From Past to Present (Social Studies),Part 1,"heritage, music, region, rhythm, vary","express, feelings, perform, popular, style",Ask for and Give Information,Classify Details,Visualize,"Prefixes: un-, re-",Pronoun Agreement,,Write an Interview,"Song Lyrics, Biography",
3B,6,From Past to Present (Social Studies),Part 2,"artist, carve, storyteller, tale, tradition, wood","communicate, generation, preservation, process, represent",Give and Follow Instructions,Steps in a Process,Visualize,"Prefixes: mis-, dis-",Pronoun Agreement,Instructions,,"Descriptive Article, Profile, Folk Tale",
3B,7,Blast! Crash! Splash! (Science),Part 1,"erupt, flow, island, lava, magma, ocean, rock, volcano","core, create, develop, force, pressure",Tell an Original Story,Imagery,Draw Conclusions,"Suffixes: -sion, -tion, -ous",Adverbs,Informational Presentation,Write a Research Report,"Narrative Poem, Photo Essay",
3B,7,Blast! Crash! Splash! (Science),Part 2,"earthquake, plate, shore, tsunami, wave","power, rescue, sense, signal, warn",Express Opinions and Ideas,Cause and Effect,Form Generalizations,"Syllable Pattern: Consonant + -le, -al, -el",Prepositional Phrases,,,"Historical Fiction, Online Article",
3B,8,Getting There (Math and Social Studies),Part 1,"distance, feet, kilometer, measurement, meter, unit","achieve, direction, estimate, goal, strategy",Ask for and Give Advice,Goal and Outcome,Review,"Suffixes: -ant, -ent",Past Tense,,Write a Story,"Realistic Fiction, Myth, Folk Tale",
3B,8,Getting There (Math and Social Studies),Part 2,"continent, destination, globe, journey, location","challenge, discover, endurance, explore, prepare",Express Intentions,Main Ideas and Details,Review,Words with More Than One Syllable,Future Tense,Panel,,Human Interest Feature,
4A,1,Living Traditions (Social Studies),Part 1,"craft, musical, perform, pottery, tradition, weave","create, culture, express, medium, style",Express Feelings,Main Idea and Details,Plan and Monitor,,Complete Sentences,Interview,Write an Interview,"Interview, Biography",
4A,1,Living Traditions (Social Studies),Part 2,"ancestor, ceremony, marriage, occasion, ritual","belief, custom, influence, relationship, role",Ask for and Give Information,Plot,Monitor and Clarify,,Subject-Verb Agreement,,,"Folk Tale,  Magazine Article",
4A,2,Animal Intelligence (Science),Part 1,"adaptation, defend, predator, prey, trait","behavior, characteristic, response, strategy, survival",Express Ideas,Analyze Characters,Make Connections,,Kinds of Sentences,,Write a Business Letter,Trickster Tale,
4A,2,Animal Intelligence (Science),Part 2,"command, imitate, memory, pattern, skill, tool","ability, communication, inherit, language, learn",Engage in Conversation,Main Idea and Details,Make Connections,,Compound Sentences,TV Talk Show,,Science Article,
4A,3,Amazing Places (Social Studies),Part 1,"continent, country, equator, globe, hemisphere, inhabitant, map","border, imagine, range, suggest, transport",Give and Follow Directions,Theme,Visualize,,Plural Nouns,,Write a Research Report,"Fictional Tale, Free Verse",
4A,3,Amazing Places (Social Studies),Part 2,"canyon, elevation, landform, ocean, plain, plateau, valley","feature, locate, physical, region, surface",Describe Places,Main Idea and Details,Visualize,,More Plural Nouns,Oral Report,,"Social Studies Article, Profile",
4A,4,Power of Nature (Science),Part 1,"convert, electricity, generate, power, renewable, scarce","available, conservation, current, flow, resource",Make Comparisons,Cause and Effect,Ask Questions,,Present-Tense Action Verbs,Instructions,Write a Tall Tale,"Science Article, Persuasive Essay",
4A,4,Power of Nature (Science),Part 2,"atmosphere, element, landscape, material, natural","benefit, force, interact, modify, relate",Express Needs and Wants,Problem and Solution,Ask Questions,,Forms of be and have,,,"Tall Tale,  Lyrical Poetry",
4B,5,Invaders! (Science),Part 1,"decompose, experiment, humid, mold, spore","contain, control, environment, investigate, spread",Retell a Story,Plot,Make Inferences,,Adjectives,,Write a Persuasive Essay,"Science Fiction, Science Experiment",
4B,5,Invaders! (Science),Part 2,"habitat, invade, population, species, threatened","balance, competition, introduce, migration, native",Define and Explain,Problem and Solution,Make Inferences,,Possessive Nouns and Adjectives,News Report,,"Science Text, Journal",
4B,6,Treasure Hunters (Social Studies),Part 1,"adventure, coastal, compass, navigation, port, treasure","chart, discovery, exploration, interpret, legend",Express Intentions,Characters,Summarize,,Pronoun Agreement,,Write Historical Fiction,"Play, Instructions",
4B,6,Treasure Hunters (Social Studies),Part 2,"archaeologist, artifact, currency, galleon, merchant","colony, examine, preserve, route, trade",Restate an Idea,Sequence,Identify the Main Idea and Details,,Possessive Pronouns,Narrative Presentation,,"History Article, Online Article",
4B,7,Moving Through Space (Science),Part 1,"accelerate, height, measure, motion, speed","average, distance, rate, scale, solve",Ask and Answer Questions,Compare and Contrast,Draw Conclusions,,Adverbs,Informational Presentation,Write a Personal Narrative,"Math Article, Science Report",
4B,7,Moving Through Space (Science),Part 2,"astronaut, launch, orbit, planet, rotation","capacity, constant, limit, resistance, technology",Clarify,Plot,Form Generalizations,,Prepositional Phrases,,,"Realistic Fiction, Biography", 
4B,8,Saving a Piece of the World (Social Studies),Part 1,"heritage, hero, president, protect, volunteer","mission, motive, responsible, service, value",Express Opinions,Goal and Outcome,Review,,Past Tense,,Write a Literary Response,"Historical Fiction, Report",
4B,8,Saving a Piece of the World (Social Studies),Part 2,"ancient, civilization, empire, object, record, site","courage, official, principle, project, risk",Justify,Fact and Opinion,Review,,Future Tense,Persuasive Presentation,,"Historical Fiction, Historical Narrative",
5A,1,Crossing Between Cultures (Social Studies),Part 1,"country, culture, education, employment, immigration, opportunity, refuge, symbol, transition, translate",,,Character Development,Preview and Predict,,Complete Sentences,,Write a Personal Narrative,"Diary, Oral History",
5A,1,Crossing Between Cultures  (Social Studies),Part 2,"citizenship, custom, ethnic, foreign, origin","adapt, challenge, diversity, identity, society",Ask and Answer Questions,Compare and Contrast,Monitor and Clarify,,Compound Subjects,Interview,,"Biography, Blog",
5A,2,Catching the Light (Science),Part 1,"absorb, heat, reflect, thermal, transmit","assume, event, explanation, power, theory",Give and Carry Out Commands,Character,Ask Questions,,Kinds of Sentences,,Write a Myth,"Myth, Origin Myth",
5A,2,Catching the Light (Science),Part 2,"circuit, conduct, current, electrical, insulate, solar, volt, watt","alternate, decrease, energy, obstacle, rely",Verify,Goal and Outcome,Ask Questions,,Compound and Complex Sentences,Instructions,,"Blog, How-To Article",
5A,3,Nature's Webs (Science),Part 1,"carnivore, consumer, food chain, herbivore, omnivore, producer","cooperate, essential, partnership, store, transfer",Tell an Original Story,Plot,Determine Importance,,Plural Nouns,,Write an Interview,"Realistic Fiction, Expository Nonfiction",
5A,3,Nature's Webs (Science),Part 2,"chlorophyll, magnify, microscope, nutrients, photosynthesis","classify, investigate, observe, propose, specialize",Engage in Conversation,Main Idea and Details,Determine Importance,,More Plural Nouns,Panel Discussion,,"Interview, Science Article",
5A,4,Justice (Social Studies),Part 1,"abolish, emancipation, escape, law, plantation, slavery","distinguish, equality, freedom, risk, route",Justify,Theme,Make Inferences,,Present Tense Action Verbs,,Write a Research Report,"Tale, History Article",
5A,4,Justice (Social Studies),Part 2,"conditions, demands, labor, nonviolence, protest, strike","barriers, conflict, demonstrate, oppose, require",Negotiate,Sequence,Make Inferences,,Forms of Be and Have,Narrative Presentation,,"Biography, Social Studies Article",
5B,5,Every Drop (Science),Part 1,"atmosphere, condensation, evaporation, fresh water, precipitation, runoff, water cycle, watershed","access, consequence, conservation, deplete, shortage",Define and Explain,Main Idea and Details,Make Connections,,Adjectives,Science Panel,Write a Magazine Article,"Science Feature, Science Article",
5B,5,Every Drop (Science),Part 2,"aquifer, canal, channel, climate, course, gourd, region","acquire, availability, capacity, distribution, scarcity",Clarify,Character,Make Connections,,Possessive Nouns and Adjectives,,,"Realistic Fiction, Legend",
5B,6,The Wild West (Social Studies),Part 1,"construction, gold rush, ranching, reservation, settler","establish, expansion, explore, frontier, individual",Describe Experiences,Cause and Effect,Visualize,,Pronoun Agreement,Team Oral Report,Write a Narrative Poem,"History Article, Essay",
5B,6,The Wild West (Social Studies),Part 2,"boomtown, claim, ghost town, investor, limited resources, mining","development, discovery, economy, population, speculate",Express Opinions,Cause and Effect,Visualize,,Different Kinds of Pronouns,,,"Play, Narrative Poem",
5B,7,Talking About Trash (Science),Part 1,"plastic, pollution, recycle, reduce, renewable, reuse","argument, balance, debate, evidence, solution",Persuade,Author's Viewpoint,Synthesize,,Adverbs,Persuasive Presentation,Write a Persuasive Essay,"Persuasive Article, Essay",
5B,7,Talking About Trash (Science),Part 2,"biodegradable, dispose, generate, landfill, transform","affect, behavior, benefit, effect, responsibility",Make Comparisons,Goal and Outcome,Synthesize,,Prepositional Phrases,,,"Short Story, Poem",
5B,8,One Idea (Social Studies),Part 1,"business, earnings, expenses, goods, income, profit, services","analyze, apply, cost, supply, value",Express Ideas,Steps in a Process,Review,,Past Tense Verbs,Informational Presentation,Write a Procedure,"Procedural Text, Newspaper Article",
5B,8,One Idea (Social Studies),Part 2,"borrow, credit, debt, entrepreneur, loan","advantage, determine, favorable, influence, organization",Restate an Idea,Elements of Fiction,Review,,Future Tense,,,"Fiction, Magazine Article",
6A,1,The Power of Choice (Social Studies),Part 1,"capable, encounter, figure, reputation, resistance","assumption, diverge, exclude, optional, potential",Give Information,Main Idea,Preview and Predict,,Complete Sentences,Narrative Presentation,Write a Personal Narrative,"Biography, Speech",
6A,1,The Power of Choice (Social Studies),Part 2,"associate, confront, preservation, sensitive, tolerance","awareness, conform, intent, interaction, involve",Ask and Answer Questions,Characters and Plot,Monitor,,Subject-Verb Agreement,,,"Realistic Fiction, Biography",
6A,2,Survival (Science),Part 1,"camouflage, deception, duplicate, mimic, parasite, variation","asset, convince, emerge, ensure, resemblance",Describe,Main Idea and Details,Visualize,,Subject and Object Pronouns,Informational Presentation,Write an Expository Report,"Science Article, Science Feature",
6A,2,Survival (Science),Part 2,"exhaust, necessity, overcome, reliance, resourceful","concentrate, intense, motivation, resilience, resolve",Elaborate,Character,Visualize,,Possessive Adjectives and Pronouns,,,"Adventure Story, Personal Narrative",
6A,3,Digging Up the Past (Social Studies),Part 1,"archaeological, artifact, chronological, civilization, dynasty, pharaoh, tomb","analytical, depict, powerful, representation, reveal",Define and Explain,Chronological Order,Ask Questions,,Progressive Tenses,Panel Discussion,Write a Research Report,Magazine Article,
6A,3,Digging Up the Past (Social Studies),Part 2,"chamber, command, hieroglyphics, peer, plunder, procession","consider, contribute, impact, perspective, significant",Engage in Discussion,Plot,Ask Questions,,Modals,,,"Diary, Historical Fiction",
6A,4,Our Diverse Earth (Science),Part 1,"dependent, endangered, extinct, policy, recover, thrive","appeal, effective, factor, protection, sustain",Make an Argument,Author’s Viewpoint,Make Connections,,Adjectives and Adverbs,Persuasive Presentation,Write an Argument,"Environmental Report, Online Article",
6A,4,Our Diverse Earth (Science),Part 2,"deforestation, ecological, landscape, management, regulate","advocate, intervene, obligation, participate, utilize",Use Appropriate Language,Characters’ Viewpoints,Make Connections,,Participial Phrases,,,"Realistic Fiction, Essay",
6B,5,A Time to Act (Social Studies),Part 1,"boycott, demonstration, discrimination, integrate, prejudice, separate","endeavor, implement, inherent, position, react",Ask for and Give Information,Relate Ideas,Determine Importance,,Verb Tenses,News Report,Write an Argument,"History Article, Memoir",
6B,5,A Time to Act (Social Studies),Part 2,"declaration, defensively, humanity, indignation, innocence","authority, commitment, intention, presume, reinforce",Express and Support Opinions,Theme,Summarize,,Perfect Tense Verbs,,,"Biographical Fiction, Historical Fiction",
6B,6,Food for Thought (Science),Part 1,"donate, equip, inspiration, nutritious, practical, welfare","devote, envision, eventually, incentive, supplement",Paraphrase,Plot and Character,Make Inferences,,Pronouns,,Write an Editorial,"Realistic Fiction, Interview",
6B,6,Food for Thought (Science),Part 2,"gene, global, organic, poverty, production, virus","controversy, crucial, eliminate, innovate, modified",Persuade,Argument,Make Inferences,,Different Kinds of Pronouns,Persuasive Presentation,,Persuasive Article,
6B,7,Ancient China (Social Studies),Part 1,"ancestor, conquest, empire, infrastructure, revolt","aspect, assemble, domain, foundation, unify",Interpret Images,Relate Ideas,Draw Conclusions,,Pronoun Agreement,Oral Report,Write a Narrative,History Article,
6B,7,Ancient China (Social Studies),Part 2,"despair, invasion, legendary, precious, subordinate","expertise, inquiry, integrity, pose, promote",Summarize,Elements of Fiction,Form Generalizations,,Prepositional Phrases,,,"Fantasy Story, Drama",
6B,8,Earth and Beyond (Science),Part 1,"composition, crater, erode, geologic, survey, terrain","analogy, distinct, simulate, structural, transform",Clarify and Verify,Compare and Contrast,Choose Reading Strategies,,Compound and Complex Sentences,Documentary,Write Science Fiction,Science Article,
6B,8,Earth and Beyond (Science),Part 2,"cavern, formation, navigation, passage, subterranean","circumstance, constant, estimate, perceive, undertake",Make Comparisons,Word Choice,Use Reading Strategies,,Combine Sentences,,,"Science Fiction, Science Feature",
